タイトル,メモ,URL,コメント
大名教会,,https://www.google.com/maps/place/%E5%A4%A7%E5%90%8D%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x35419187737ca76b:0x89d666e776b5294,
福音の光修道会,,https://www.google.com/maps/place/%E7%A6%8F%E9%9F%B3%E3%81%AE%E5%85%89%E4%BF%AE%E9%81%93%E4%BC%9A/data=!4m2!3m1!1s0x3541909c060bd85f:0xb4fcd1e7d4f8a47d,
イエズス会 山口修道院,,https://www.google.com/maps/place/%E3%82%A4%E3%82%A8%E3%82%BA%E3%82%B9%E4%BC%9A+%E5%B1%B1%E5%8F%A3%E4%BF%AE%E9%81%93%E9%99%A2/data=!4m2!3m1!1s0x3544971ad733f303:0xa995ec9396b10087,
イエズス会聖ヨハネ修道院,,https://www.google.com/maps/place/%E3%82%A4%E3%82%A8%E3%82%BA%E3%82%B9%E4%BC%9A%E8%81%96%E3%83%A8%E3%83%8F%E3%83%8D%E4%BF%AE%E9%81%93%E9%99%A2/data=!4m2!3m1!1s0x355a98e72a755273:0x9143b0ce5ce08232,
福音の光修道会,,https://www.google.com/maps/place/%E7%A6%8F%E9%9F%B3%E3%81%AE%E5%85%89%E4%BF%AE%E9%81%93%E4%BC%9A/data=!4m2!3m1!1s0x355aba2006dd4857:0xfcb607044c0ccbd8,
純心聖母会小野田修道院,,https://www.google.com/maps/place/%E7%B4%94%E5%BF%83%E8%81%96%E6%AF%8D%E4%BC%9A%E5%B0%8F%E9%87%8E%E7%94%B0%E4%BF%AE%E9%81%93%E9%99%A2/data=!4m2!3m1!1s0x354383f68cf772e9:0x93b2cc7c99814ebb,
小豆島修道院,,https://www.google.com/maps/place/%E5%B0%8F%E8%B1%86%E5%B3%B6%E4%BF%AE%E9%81%93%E9%99%A2/data=!4m2!3m1!1s0x35547f2dfb8f82fd:0xc260bd9eb2967e1c,
聖ドミニコの宣教修道女会小豆島修道院,,https://www.google.com/maps/place/%E8%81%96%E3%83%89%E3%83%9F%E3%83%8B%E3%82%B3%E3%81%AE%E5%AE%A3%E6%95%99%E4%BF%AE%E9%81%93%E5%A5%B3%E4%BC%9A%E5%B0%8F%E8%B1%86%E5%B3%B6%E4%BF%AE%E9%81%93%E9%99%A2/data=!4m2!3m1!1s0x35547f2dfb8f82fd:0x41b2b6c5cddd66a,
エスコラピオス修道会 四日市修道院,,https://www.google.com/maps/place/%E3%82%A8%E3%82%B9%E3%82%B3%E3%83%A9%E3%83%94%E3%82%AA%E3%82%B9%E4%BF%AE%E9%81%93%E4%BC%9A+%E5%9B%9B%E6%97%A5%E5%B8%82%E4%BF%AE%E9%81%93%E9%99%A2/data=!4m2!3m1!1s0x60038ee8808f4175:0xc0f73dd718a818b9,
カロンデレットの聖ヨゼフ修道会,,https://www.google.com/maps/place/%E3%82%AB%E3%83%AD%E3%83%B3%E3%83%87%E3%83%AC%E3%83%83%E3%83%88%E3%81%AE%E8%81%96%E3%83%A8%E3%82%BC%E3%83%95%E4%BF%AE%E9%81%93%E4%BC%9A/data=!4m2!3m1!1s0x60040d1ff02e75b5:0x84e2f1eaf61142f6,
幼きイエズス修道会和歌山信愛修道院,,https://www.google.com/maps/place/%E5%B9%BC%E3%81%8D%E3%82%A4%E3%82%A8%E3%82%BA%E3%82%B9%E4%BF%AE%E9%81%93%E4%BC%9A%E5%92%8C%E6%AD%8C%E5%B1%B1%E4%BF%A1%E6%84%9B%E4%BF%AE%E9%81%93%E9%99%A2/data=!4m2!3m1!1s0x6000b2db6ff5a70d:0xfdf2089d5b4b23c6,
カトリック八尾教会,,https://www.google.com/maps/place/%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E5%85%AB%E5%B0%BE%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x600127495d77b401:0x1a22e2eea76a2fb0,
カリタス会甲府修道院,,https://www.google.com/maps/place/%E3%82%AB%E3%83%AA%E3%82%BF%E3%82%B9%E4%BC%9A%E7%94%B2%E5%BA%9C%E4%BF%AE%E9%81%93%E9%99%A2/data=!4m2!3m1!1s0x601bf9ca536e9649:0x4377ce6bb32e3817,
駿河カトリック教会聖堂,,https://www.google.com/maps/place/%E9%A7%BF%E6%B2%B3%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E6%95%99%E4%BC%9A%E8%81%96%E5%A0%82/data=!4m2!3m1!1s0x60199d7205d2bc1f:0x79b6fc6651421ed1,
聖霊会 小金井聖霊修道院,,https://www.google.com/maps/place/%E8%81%96%E9%9C%8A%E4%BC%9A+%E5%B0%8F%E9%87%91%E4%BA%95%E8%81%96%E9%9C%8A%E4%BF%AE%E9%81%93%E9%99%A2/data=!4m2!3m1!1s0x6018e5bfff394059:0x806817aaa3dfecb6,
アトンメントのフランシスコ会,,https://www.google.com/maps/place/%E3%82%A2%E3%83%88%E3%83%B3%E3%83%A1%E3%83%B3%E3%83%88%E3%81%AE%E3%83%95%E3%83%A9%E3%83%B3%E3%82%B7%E3%82%B9%E3%82%B3%E4%BC%9A/data=!4m2!3m1!1s0x60185e6d78825867:0xb4257dac40c03ae2,
聖ヨゼフ修道院,,https://www.google.com/maps/place/%E8%81%96%E3%83%A8%E3%82%BC%E3%83%95%E4%BF%AE%E9%81%93%E9%99%A2/data=!4m2!3m1!1s0x60188b82e9b08f1b:0x29655513b6e50281,
聖パウロ女子修道会,,https://www.google.com/maps/place/%E8%81%96%E3%83%91%E3%82%A6%E3%83%AD%E5%A5%B3%E5%AD%90%E4%BF%AE%E9%81%93%E4%BC%9A/data=!4m2!3m1!1s0x60188b7e3be1c85d:0xba1bec89775b690d,
師イエズス修道女会 東京典礼センター ピエタ,,https://www.google.com/maps/place/%E5%B8%AB%E3%82%A4%E3%82%A8%E3%82%BA%E3%82%B9%E4%BF%AE%E9%81%93%E5%A5%B3%E4%BC%9A+%E6%9D%B1%E4%BA%AC%E5%85%B8%E7%A4%BC%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC+%E3%83%94%E3%82%A8%E3%82%BF/data=!4m2!3m1!1s0x60188c8b12afb169:0xe087b61fd70abf03,
宗教法人カトリック聖パウロ修道会 四谷修道院,,https://www.google.com/maps/place/%E5%AE%97%E6%95%99%E6%B3%95%E4%BA%BA%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E8%81%96%E3%83%91%E3%82%A6%E3%83%AD%E4%BF%AE%E9%81%93%E4%BC%9A+%E5%9B%9B%E8%B0%B7%E4%BF%AE%E9%81%93%E9%99%A2/data=!4m2!3m1!1s0x60188c89442dd747:0xf34277d22d7cfd2e,
宗教法人カトリック聖パウロ修道会若葉修道院,,https://www.google.com/maps/place/%E5%AE%97%E6%95%99%E6%B3%95%E4%BA%BA%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E8%81%96%E3%83%91%E3%82%A6%E3%83%AD%E4%BF%AE%E9%81%93%E4%BC%9A%E8%8B%A5%E8%91%89%E4%BF%AE%E9%81%93%E9%99%A2/data=!4m2!3m1!1s0x60188c8cfb021d71:0xf63710c9b2af291a,
クルトゥルハイム聖堂,,https://www.google.com/maps/place/%E3%82%AF%E3%83%AB%E3%83%88%E3%82%A5%E3%83%AB%E3%83%8F%E3%82%A4%E3%83%A0%E8%81%96%E5%A0%82/data=!4m2!3m1!1s0x60188c6286184971:0xecfad06ed9202eec,
援助修道会本部修道院,,https://www.google.com/maps/place/%E6%8F%B4%E5%8A%A9%E4%BF%AE%E9%81%93%E4%BC%9A%E6%9C%AC%E9%83%A8%E4%BF%AE%E9%81%93%E9%99%A2/data=!4m2!3m1!1s0x60188d9401225f2b:0xdfd584858bb7e9be,
